,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
140,0.2%,0.7%,9.3%,35.9%,53.9%,阿尔·帕西诺,208638,['\n        '],['1990-12-25(美国)'],弗朗西斯·福特·科波拉,['\n        '],教父3 The Godfather: Part III,8.9,马里奥·普佐,170分钟,"['剧情', '犯罪']"
141,0.1%,0.5%,9.3%,36.9%,53.2%,岛本须美,257629,['\n        '],"['1992-05(中国大陆)', '1984-03-11(日本)']",宫崎骏,['\n        '],风之谷 風の谷のナウシカ,8.8,宫崎骏,117分钟,"['动画', '奇幻', '冒险']"
142,0.2%,0.8%,11.4%,38.3%,49.3%,多姆纳尔·格里森,328887,['\n        '],['2013-09-04(英国)'],理查德·柯蒂斯,['\n        '],时空恋旅人 About Time,8.7,理查德·柯蒂斯,123分钟,"['喜剧', '爱情', '奇幻']"
143,0.2%,0.4%,5.1%,32.6%,61.8%,柳乐优弥,151637,['\n        '],"['2004-05-13(戛纳电影节)', '2004-08-07(日本)']",是枝裕和,['\n        '],无人知晓 誰も知らない,9.1,是枝裕和,141分钟,['剧情']
144,0.3%,0.9%,9.3%,43.6%,46.0%,庄益增,211242,['\n        '],"['2017-10-13(中国台湾)', '2017-06-29(台北电影节)']",黄信尧,['\n        '],大佛普拉斯,8.7,黄信尧,102分钟,"['剧情', '喜剧', '犯罪']"
145,0.2%,0.8%,10.2%,37.7%,51.1%,伊万·麦克格雷格,371050,['\n        '],"['2003-12-04(纽约首映)', '2004-01-09(美国)']",蒂姆·波顿,[' '],大鱼 Big Fish,8.8,Daniel Wallace,125 分钟,"['剧情', '家庭', '奇幻', '冒险']"
146,1.0%,2.6%,16.8%,45.1%,34.6%,张雪迎,348549,['\n        '],"['2018-12-07(中国大陆)', '2013-10-11(华语青年影像论坛)']",曹保平,['\n        '],狗十三,8.2,焦华静,120分钟,"['剧情', '家庭']"
147,0.3%,1.1%,16.8%,53.4%,28.4%,茱蒂蒙·琼查容苏因,505610,['\n        '],"['2017-10-13(中国大陆)', '2017-05-03(泰国)']",纳塔吾·彭皮里亚,['\n        '],天才枪手 ฉลาดเกมส์โกง,8.2,塔妮达·汉塔维瓦塔娜,130分钟,"['剧情', '悬疑', '犯罪']"
148,0.1%,0.4%,11.8%,45.1%,42.6%,高山南,298211,['\n        '],['1989-07-29(日本)'],宫崎骏,['\n        '],魔女宅急便 魔女の宅急便,8.6,宫崎骏,103分钟,"['动画', '奇幻', '冒险']"
149,0.2%,0.8%,13.0%,49.4%,36.7%,马特·达蒙,445054,['\n        '],"['2015-11-25(中国大陆)', '2015-10-02(美国)']",雷德利·斯科特,['\n        '],火星救援 The Martian,8.4,德鲁·高达,144分钟,"['剧情', '科幻', '冒险']"
150,0.2%,0.5%,5.6%,32.1%,61.6%,麦斯·米科尔森,211386,['\n        '],"['2012-05-20(戛纳电影节)', '2013-01-10(丹麦)']",托马斯·温特伯格,['\n        '],狩猎 Jagten,9.1,托马斯·温特伯格,115分钟,['剧情']
151,0.1%,0.7%,11.1%,40.6%,47.4%,约翰·C·赖利,330035,['\n        '],"['2012-11-06(中国大陆)', '2012-11-02(美国)']",瑞奇·摩尔,[' '],无敌破坏王 Wreck-It Ralph,8.7,菲尔·约翰斯顿,101分钟,"['喜剧', '动画', '奇幻', '冒险']"
152,0.2%,0.7%,10.2%,42.7%,46.2%,杰米·福克斯,385523,['\n        '],"['2013-05-12(中国大陆)', '2012-12-25(美国)']",昆汀·塔伦蒂诺,[' '],被解救的姜戈 Django Unchained,8.7,昆汀·塔伦蒂诺,163分钟(中国大陆),"['剧情', '动作', '西部', '冒险']"
153,0.4%,1.7%,15.1%,41.0%,41.9%,萨尔曼·汗,297953,['\n        '],"['2018-03-02(中国大陆)', '2015-07-17(印度)']",卡比尔·汗,['\n        '],小萝莉的猴神大叔 Bajrangi Bhaijaan,8.4,卡比尔·汗,159分钟,"['剧情', '喜剧', '动作']"
154,0.1%,0.5%,8.8%,38.8%,51.8%,本木雅弘,418344,['\n        '],['2008-09-13(日本)'],泷田洋二郎,['\n        '],入殓师 おくりびと,8.8,小山薰堂,130 分钟,['剧情']
155,0.5%,2.0%,20.2%,48.3%,29.0%,克里斯·帕拉特,396308,['\n        '],"['2014-10-10(中国大陆)', '2014-07-21(洛杉矶首映)', '2014-08-01(美国)']",詹姆斯·古恩,['\n        '],银河护卫队 Guardians of the Galaxy,8.1,詹姆斯·古恩,121分钟,"['动作', '科幻', '冒险']"
156,0.2%,0.7%,12.1%,44.9%,42.1%,戴夫·帕特尔,519631,['\n        '],"['2009-03-26(中国大陆)', '2008-08-30(特柳赖德电影节)', '2009-01-09(英国)']",丹尼·博伊尔,['\n        '],贫民窟的百万富翁 Slumdog Millionaire,8.6,西蒙·博福伊,120 分钟,"['剧情', '爱情']"
157,0.1%,0.5%,9.1%,36.5%,53.8%,本名阳子,277378,['\n        '],['1995-07-15(日本)'],近藤喜文,['\n        '],侧耳倾听 耳をすませば,8.9,宫崎骏,111分钟,"['剧情', '爱情', '动画']"
